date,trial_num,trial_date,matings,female_age,treatment,vial,trial_start,mating_start,mating_end,male_type,mating_latency,trial_duration,courtship_bouts,mated?,notes,
2023-11-25,2,nov_25,some,16,low,9,9:16:06 AM,NA,NA,glued,,10800,2,,,
2023-11-25,2,nov_25,some,16,medium,9,9:16:07 AM,9:39:41 AM,9:54:55 AM,normal,1414,2328,2,y,,
2023-11-25,2,nov_25,some,16,high,10,9:16:21 AM,,,normal,,10800,0,,,
2023-11-25,2,nov_25,some,16,low,10,9:20:58 AM,NA,NA,glued,,10800,2,,,
2023-11-25,2,nov_25,some,16,medium,10,9:21:15 AM,9:40:21 AM,9:54:56 AM,normal,1146,2021,1,y,,
2023-11-25,2,nov_25,some,16,high,11,9:21:28 AM,,,normal,,10800,5,,,
2023-11-25,2,nov_25,some,16,low,11,9:21:42 AM,NA,NA,glued,,10800,5,,,
2023-11-25,2,nov_25,some,16,medium,11,9:22:42 AM,,,normal,,10800,0,,,
2023-11-25,2,nov_25,some,16,high,12,9:23:25 AM,,,normal,,10800,5,,,
2023-11-25,2,nov_25,some,16,low,12,9:23:26 AM,NA,NA,glued,,10800,2,,,
2023-11-25,2,nov_25,some,16,medium,12,9:23:26 AM,9:49:53 AM,10:04:03 AM,normal,1587,2437,0,y,,
2023-11-25,2,nov_25,some,16,high,13,9:25:33 AM,9:33:34 AM,9:50:17 AM,normal,481,1484,1,y,,
2023-11-25,2,nov_25,some,16,low,13,9:25:34 AM,NA,NA,glued,,10800,2,,,
2023-11-25,2,nov_25,some,16,medium,13,9:25:35 AM,9:28:43 AM,9:45:04 AM,normal,188,1169,1,y,,
2023-11-25,2,nov_25,some,16,high,14,9:26:24 AM,9:32:05 AM,9:48:19 AM,normal,341,1315,1,y,,
2023-11-25,2,nov_25,some,16,low,14,9:26:26 AM,NA,NA,glued,,10800,1,,,
2023-11-25,2,nov_25,some,16,medium,14,9:26:34 AM,9:32:39 AM,9:43:24 AM,normal,365,1010,1,y,,
2023-11-25,2,nov_25,some,16,high,15,9:27:45 AM,9:42:09 AM,10:04:25 AM,normal,864,2200,1,y,,
2023-11-25,2,nov_25,some,16,low,15,9:27:46 AM,NA,NA,glued,,10800,1,,,
2023-11-25,2,nov_25,some,16,medium,15,9:27:47 AM,9:43:48 AM,10:00:13 AM,normal,961,1946,1,y,,
2023-11-25,2,nov_25,some,16,high,16,9:44:42 AM,,,normal,,10800,5,,,
2023-11-25,2,nov_25,some,16,low,16,9:44:45 AM,NA,NA,glued,,10800,5,,,
2023-11-25,2,nov_25,some,16,medium,16,9:44:46 AM,12:28:35 PM,12:49:56 PM,normal,9829,11110,5,y,,
2023-11-25,2,nov_25,some,16,high,17,9:56:15 AM,9:59:17 AM,10:19:40 AM,normal,182,1405,1,y,,
2023-11-25,2,nov_25,some,16,low,17,9:56:16 AM,NA,NA,glued,,10800,0,,,
2023-11-25,2,nov_25,some,16,medium,17,9:56:16 AM,10:00:50 AM,10:23:11 AM,normal,274,1615,1,y,,
2023-11-25,2,nov_25,some,16,high,18,9:56:20 AM,,,normal,,10800,5,,,
2023-11-25,2,nov_25,some,16,low,18,9:56:21 AM,NA,NA,glued,,10800,5,,,
2023-11-25,2,nov_25,some,16,medium,18,9:56:21 AM,,,normal,,10800,2,,,
2023-11-25,2,nov_25,some,16,high,19,9:57:34 AM,11:27:31 AM,11:38:05 AM,normal,5397,6031,2,y,,
2023-11-25,2,nov_25,some,16,low,19,9:56:24 AM,NA,NA,glued,,10800,5,,,
2023-11-25,2,nov_25,some,16,medium,19,9:57:35 AM,10:52:06 AM,11:07:53 AM,normal,3271,4218,3,y,,
2023-11-25,2,nov_25,some,16,high,20,9:57:35 AM,,,normal,,10800,0,,,
2023-11-25,2,nov_25,some,16,low,20,9:58:14 AM,NA,NA,glued,,10800,5,,,
2023-11-25,2,nov_25,some,16,medium,20,9:58:14 AM,,,normal,,10800,5,,,
2023-11-27,3,nov_27,some,18,low,1,8:58:10 AM,NA,NA,glued,,10800,5,,temp = 24.4,
2023-11-27,3,nov_27,some,18,medium,1,8:58:28 AM,NA,NA,glued,,10800,1,,humidity = 36%,
2023-11-27,3,nov_27,some,18,high,1,8:59:14 AM,,,normal,,10800,5,,,
2023-11-27,3,nov_27,some,18,low,2,8:59:32 AM,NA,NA,glued,,10800,5,,,
2023-11-27,3,nov_27,some,18,medium,2,8:59:45 AM,NA,NA,glued,,10800,3,,,
2023-11-27,3,nov_27,some,18,high,2,8:59:59 AM,,,normal,,10800,5,,,
2023-11-27,3,nov_27,some,18,low,3,dead,dead,dead,normal,,NA,NA,,,
2023-11-27,3,nov_27,some,18,medium,3,9:00:19 AM,NA,NA,glued,,10800,1,,,
2023-11-27,3,nov_27,some,18,high,3,9:00:32 AM,,,normal,,10800,2,,,
2023-11-27,3,nov_27,some,18,low,4,9:00:42 AM,NA,NA,glued,,10800,2,,,
2023-11-27,3,nov_27,some,18,medium,4,9:00:58 AM,NA,NA,glued,,10800,1,,,
2023-11-27,3,nov_27,some,18,high,4,9:01:14 AM,9:45:05 AM,10:05:24 AM,normal,2631,3850,4,y,,
2023-11-27,3,nov_27,some,18,low,5,9:01:48 AM,NA,NA,glued,,10800,4,,,
2023-11-27,3,nov_27,some,18,medium,5,9:02:04 AM,NA,NA,glued,,10800,5,,,
