days,batch,female_age,treatment,vial,offspring,daily_offspring,notes
nov 25-28,7,16-20,high,4,142,35.5,
nov 25-28,7,16-20,high,5,86,21.5,
nov 25-28,7,16-20,high,6,162,40.5,
nov 25-28,7,16-20,high,7,110,27.5,
nov 25-28,7,16-20,high,8,69,17.25,
nov 25-28,7,16-20,high,9,132,33,
nov 25-28,7,16-20,high,10,0,0,
nov 25-28,7,16-20,high,11,151,37.75,
nov 25-28,7,16-20,high,12,82,20.5,
nov 25-28,7,16-20,high,13,141,35.25,
nov 25-28,7,16-20,high,14,155,38.75,
nov 25-28,7,16-20,high,15,143,35.75,
nov 25-28,7,16-20,high,16,124,31,
nov 25-28,7,16-20,high,17,131,32.75,
nov 25-28,7,16-20,high,18,67,16.75,
nov 25-28,7,16-20,high,19,139,34.75,
nov 25-28,7,16-20,high,20,71,17.75,
nov 28-dec 3,8,20-23,low,1,45,11.25,
nov 28-dec 3,8,20-23,low,2,125,31.25,
nov 28-dec 3,8,20-23,low,3,0,0,
nov 28-dec 3,8,20-23,low,4,57,14.25,
nov 28-dec 3,8,20-23,low,5,36,9,
nov 28-dec 3,8,20-23,low,6,154,38.5,
nov 28-dec 3,8,20-23,low,7,111,27.75,
nov 28-dec 3,8,20-23,low,8,106,26.5,
nov 28-dec 3,8,20-23,low,9,146,36.5,
nov 28-dec 3,8,20-23,low,10,50,12.5,
nov 28-dec 3,8,20-23,low,11,99,24.75,
nov 28-dec 3,8,20-23,low,12,139,34.75,
nov 28-dec 3,8,20-23,low,13,119,29.75,
nov 28-dec 3,8,20-23,low,14,145,36.25,
nov 28-dec 3,8,20-23,low,15,100,25,
nov 28-dec 3,8,20-23,low,16,111,27.75,
nov 28-dec 3,8,20-23,low,17,93,23.25,
nov 28-dec 3,8,20-23,low,18,136,34,
nov 28-dec 3,8,20-23,low,19,127,31.75,
nov 28-dec 3,8,20-23,low,20,125,31.25,
nov 28-dec 3,8,20-23,medium,1,0,0,
nov 28-dec 3,8,20-23,medium,2,124,31,
nov 28-dec 3,8,20-23,medium,3,71,17.75,
nov 28-dec 3,8,20-23,medium,4,88,22,
nov 28-dec 3,8,20-23,medium,5,149,37.25,
nov 28-dec 3,8,20-23,medium,6,135,33.75,
nov 28-dec 3,8,20-23,medium,7,127,31.75,
nov 28-dec 3,8,20-23,medium,8,97,24.25,
nov 28-dec 3,8,20-23,medium,9,13,3.25,
nov 28-dec 3,8,20-23,medium,10,122,30.5,
nov 28-dec 3,8,20-23,medium,11,41,10.25,
nov 28-dec 3,8,20-23,medium,12,136,34,
nov 28-dec 3,8,20-23,medium,13,105,26.25,
nov 28-dec 3,8,20-23,medium,14,10,2.5,
nov 28-dec 3,8,20-23,medium,15,132,33,
nov 28-dec 3,8,20-23,medium,16,102,25.5,
nov 28-dec 3,8,20-23,medium,17,0,0,
nov 28-dec 3,8,20-23,medium,18,77,19.25,
nov 28-dec 3,8,20-23,medium,19,58,14.5,
nov 28-dec 3,8,20-23,medium,20,144,36,
nov 28-dec 3,8,20-23,high,1,83,20.75,
nov 28-dec 3,8,20-23,high,2,140,35,
nov 28-dec 3,8,20-23,high,3,137,34.25,
nov 28-dec 3,8,20-23,high,4,124,31,
nov 28-dec 3,8,20-23,high,5,89,22.25,
nov 28-dec 3,8,20-23,high,6,87,21.75,
nov 28-dec 3,8,20-23,high,7,76,19,
nov 28-dec 3,8,20-23,high,8,94,23.5,
nov 28-dec 3,8,20-23,high,9,107,26.75,
nov 28-dec 3,8,20-23,high,10,10,2.5,
nov 28-dec 3,8,20-23,high,11,144,36,
nov 28-dec 3,8,20-23,high,12,96,24,
nov 28-dec 3,8,20-23,high,13,93,23.25,
nov 28-dec 3,8,20-23,high,14,59,14.75,
nov 28-dec 3,8,20-23,high,15,103,25.75,
nov 28-dec 3,8,20-23,high,16,110,27.5,
nov 28-dec 3,8,20-23,high,17,107,26.75,
nov 28-dec 3,8,20-23,high,18,87,21.75,
nov 28-dec 3,8,20-23,high,19,73,18.25,
nov 28-dec 3,8,20-23,high,20,95,23.75,
